"mgm4552597.3" "mgm4552598.3" "mgm4552599.3" "mgm4552600.3" "mgm4552601.3" "mgm4552602.3" "mgm4552603.3" "mgm4552604.3" "mgm4552605.3" "mgm4552606.3" "mgm4552607.3" "mgm4552608.3" "mgm4552609.3" "mgm4552610.3" "mgm4552611.3" "mgm4552612.3" "mgm4552613.3" "mgm4552614.3" "mgm4552615.3" "mgm4552616.3" "mgm4552617.3" "mgm4552618.3" "mgm4552619.3" "mgm4552620.3" "mgm4552621.3" "mgm4552622.3" "mgm4552623.3" "mgm4552624.3" "mgm4552625.3" "mgm4552626.3" "mgm4552627.3" "mgm4552628.3" "mgm4552629.3" "mgm4552630.3" "mgm4552631.3" "mgm4552632.3" "mgm4552633.3" "mgm4552634.3" "mgm4552635.3" "mgm4552636.3"
"Cold shock" 908 896 2226 2495 1254 1198 1270 809 3 2089 2456 969 1615 1760 874 999 2082 1234 1491 1005 8232 12971 11759 13654 17232 14444 12854 27797 13738 28514 24772 28619 18500 25485 10316 12043 10862 8362 9444 12428
"Nucleotidyl-phosphate metabolic cluster" 7417 7084 15421 17547 8221 7797 9310 5721 27 15709 17645 7178 13189 12715 7267 7298 17761 9544 11718 8510 9707 16470 14584 16222 20884 16921 14876 33476 16493 35343 30233 32122 21020 31115 12054 13607 13241 9644 10819 14068
"Transposable elements" 2120 2111 5683 5767 3027 2431 3284 1830 7 5115 5591 2293 4922 4124 2372 2049 5131 2654 3609 2365 720 1442 1088 1182 1668 1251 1116 2588 1130 2681 2277 3155 1559 2004 864 1206 1072 706 925 988
"Siderophores" 1314 1719 3696 3034 1768 2068 2276 1229 1 3790 3270 1381 3436 2781 2072 1081 3165 1676 2429 1531 7710 13447 11202 12302 16953 13706 12742 26628 13473 28909 24539 27321 16188 23911 9647 10885 10027 7463 8471 10438
"Selenoproteins" 8164 7945 20219 21115 10688 9546 11393 7224 21 18441 20944 8842 15945 15619 8652 8016 19263 10230 13370 9266 1453 2031 1690 1845 2454 2496 2282 4317 2460 4175 4114 3412 2022 4198 1408 1249 1335 998 1274 1562
"Ribosome-related cluster" 4301 4132 11146 11166 5865 5117 6316 3648 10 9692 11086 4380 9429 8320 4566 4154 10105 5393 7379 4982 6876 11490 9489 11064 14547 11769 10683 23070 11421 24963 21023 25549 15344 21133 8653 9996 9003 6623 7792 9493
"proteosome related" 2819 3103 6372 9687 3977 4244 4418 2999 10 6667 7152 2900 4225 5286 2320 2946 6235 3768 4447 3349 3842 6453 5945 6330 8734 6874 6187 13044 5984 14038 11948 12617 8083 12192 4809 5142 5112 3826 4444 5310
"Bacteriocins, ribosomally synthesized antibacterial peptides" 187 151 444 449 232 167 298 153 0 391 429 169 419 392 206 164 388 241 362 248 473 900 663 840 1100 944 759 1754 762 1867 1569 1469 924 1598 578 658 623 391 427 555
"Tricarboxylate transporter" 4847 3611 7610 7667 4312 2956 4522 2588 14 8723 8507 3162 9855 7662 4655 3390 10622 4987 7229 4586 3938 4656 4805 5478 6520 5947 4958 11432 6132 12298 11068 10990 9822 13003 4671 3956 4443 3806 3813 5706
"Hypothetical lipase related to Phosphatidate metabolism" 955 943 2350 2719 1316 1223 1502 767 3 2202 2450 1000 1794 1849 932 903 2164 1121 1632 1002 1314 2397 2020 2261 2778 2431 1896 4676 2291 4756 4171 3934 2552 4127 1571 1703 1717 1114 1339 1660
"Lipoic acid" 1775 1715 4271 5085 2589 2076 2742 1573 1 3995 4896 1804 3697 3495 1956 1711 3952 2124 3153 2011 670 1349 987 1101 1507 1234 1109 2430 1268 2738 2278 2311 1403 2264 862 944 866 661 752 981
"alpha-proteobacterial cluster of hypotheticals" 780 672 2037 2032 1106 889 1240 734 3 1868 2153 853 1751 1694 876 782 1932 1049 1320 813 1852 3277 2966 3328 4410 3541 3240 7077 3288 7556 6220 6963 4086 6349 2612 2748 2652 1985 2039 2601
"Plasmid related functions" 160 210 661 780 328 252 334 180 0 527 640 205 535 423 205 177 429 265 342 192 7162 11314 10568 12137 15037 12405 11001 24379 11635 25895 21670 26288 16834 24443 9284 9565 9813 7423 8301 11046
"Shiga toxin cluster" 2789 2648 7350 7158 3742 2879 4356 2377 17 6428 7030 2857 6351 5428 3102 2651 6686 3438 4850 3088 2111 4084 3562 3423 3895 3280 2712 7584 3686 6466 6511 6243 3823 5326 1971 3058 3247 1714 2255 3082
"Phosphate metabolism" 2397 2247 5525 5821 3033 2465 3279 2095 3 5001 5910 2349 4872 4441 2522 2228 5506 2903 3810 2522 255 443 380 536 520 491 402 917 367 946 879 999 406 781 259 323 347 207 220 275
"Quorum sensing and biofilm formation" 2679 2432 6215 6405 3468 2794 3545 2231 4 5524 6587 2520 5263 4984 2579 2544 5998 3252 4367 2972 5940 9531 7945 8714 11410 9890 8217 19523 9859 19556 17250 29698 15633 16312 6766 8380 7920 5927 6568 8648
"Chromosome Replication" 1255 1272 3228 3270 1727 1402 1930 1016 3 2825 3495 1394 2586 2450 1488 1240 3170 1624 2198 1392 2052 3645 3040 3601 4689 3760 3370 7397 3505 7674 6498 6895 4691 6826 2691 3133 3040 2166 2293 3082
"Putative Isoquinoline 1-oxidoreductase subunit" 3192 2803 7969 6361 3759 3119 4227 2257 9 7177 7464 2935 7615 6246 3838 2630 8392 3991 5426 3330 858 1731 1121 1256 1667 1479 1203 2805 1433 2997 2747 2306 1668 2665 1029 1082 1005 772 890 1164
"DNA metabolism" 147 172 312 501 147 138 232 106 0 337 264 131 257 305 112 136 255 180 165 152 2892 4105 3672 4306 6004 5026 4610 9366 4450 10614 8404 17921 9268 10195 3827 3536 3532 3107 3312 4011
"Sarcosine oxidase" 1505 1205 2615 3047 1313 1204 1529 1045 1 2574 2579 1152 2252 2128 1118 1150 3006 1609 2303 1431 797 1404 1161 1348 1618 1366 1196 2854 1278 2945 2390 2663 1650 2413 1001 1074 1028 770 828 994
"Programmed Cell Death and Toxin-antitoxin Systems" 664 616 1675 1783 891 863 1089 578 2 1477 1722 723 1313 1159 755 611 1461 832 978 704 456 861 743 758 1101 818 664 1573 757 1786 1521 1790 841 1421 536 601 621 466 485 605
"Gene Transfer Agent (GTA)" 295 232 551 943 364 218 362 210 1 604 878 236 622 532 280 243 617 276 474 355 280 410 317 377 695 465 500 795 515 967 893 767 505 939 421 407 348 307 329 389
"Protein secretion system, Type I" 137 98 175 353 143 96 150 116 0 285 298 77 349 261 186 105 242 173 257 104 2116 3755 3228 3773 4971 4174 3725 7569 3420 8580 6790 7460 4525 7397 2910 3099 2854 2055 2564 2841
"Bacterial cytostatics, differentiation factors and antibiotics" 510 587 1471 1526 762 850 930 488 1 1221 1479 553 914 941 490 532 1145 605 720 511 210 280 263 284 351 286 251 507 252 671 473 514 353 564 215 205 211 139 181 221
"Probably organic hydroperoxide resistance related hypothetical protein" 473 599 1520 1602 713 739 828 574 0 1299 1524 565 1108 1073 534 514 1214 681 884 620 1152 1881 1785 1924 2552 2223 1770 4105 1726 4331 3507 4668 2821 3231 1392 1684 1532 1109 1258 1474
"TldD cluster" 2449 2163 6256 6300 3294 2830 3552 2066 4 5354 6214 2611 5373 4674 2560 2098 5420 2895 3950 2639 775 1760 1413 1382 2192 1727 1523 3518 1432 3599 2730 5070 2193 2294 1137 1763 1397 908 1131 1065
"DNA uptake, competence" 2459 2318 6026 6441 3302 2792 3618 1972 4 5314 6210 2491 4674 4764 2474 2425 5457 2902 4087 2679 592 1096 901 1074 1418 1170 1000 2356 989 2679 1907 3494 1649 1933 807 1098 1043 723 803 984
"Periplasmic Stress" 1306 1168 3254 3217 1679 1301 1950 1076 6 2861 3495 1390 3376 2628 1623 1218 3237 1615 2283 1513 1799 2947 2569 3011 3915 3178 3003 6216 3005 6887 5520 7056 4254 6016 2408 2538 2393 1774 1999 2677
"recX and regulatory cluster" 749 829 2242 2229 1093 990 1260 715 2 1866 2060 821 1882 1672 873 738 1766 994 1356 823 1982 3295 2806 3334 4387 3680 3070 7009 3261 7295 6280 7274 4413 6458 2532 2839 2733 1952 2182 2944
"Recombination related cluster" 322 301 835 670 323 328 530 202 0 665 656 341 671 564 367 316 623 399 499 348 780 1302 1110 1424 1900 1498 1466 2817 1417 3093 2709 2858 1758 2694 1069 1173 1096 836 865 1131
"Choline bitartrate degradation, putative" 2281 2090 5100 4961 2740 2352 3024 1659 3 4727 5467 2115 4656 4004 2297 2118 4910 2758 3660 2315 1424 2834 2318 2587 3073 2558 2192 5365 2385 5595 4675 4797 2911 4808 1781 1995 2000 1452 1553 2026
"Probably Ybbk-related hypothetical membrane proteins" 951 936 2444 2719 1261 1127 1364 988 0 2146 2412 1067 2005 1967 941 1012 2222 1214 1477 1086 463 930 890 898 1208 975 714 1855 779 1807 1611 1520 948 1679 606 710 685 426 490 611
"DNA polymerase III epsilon cluster" 1433 1379 3508 4089 1960 1808 2321 1344 2 3308 3723 1500 3086 2799 1543 1492 3359 1915 2333 1530 1412 2176 2086 2276 2807 2332 1974 4322 2123 4597 3916 4611 2832 4318 1748 1794 1653 1226 1509 1944
"Glycoside hydrolases" 845 768 2510 2170 1136 1057 1362 645 1 2011 2313 939 2023 1669 1048 795 2173 1171 1564 975 4 3 1 0 4 3 4 1 1 8 3 3 3 2 0 0 0 1 2 0
"Lysine Biosynthesis" 454 540 1564 1794 796 635 1028 563 0 1342 1511 580 1216 1132 533 600 1236 635 985 577 232 435 318 409 446 390 312 813 360 944 724 1031 550 775 284 324 271 246 248 312
"Probably Pyrimidine biosynthesis-related" 1640 1388 3506 3849 2024 1694 2114 1236 6 3250 3933 1604 3392 3081 1738 1455 3628 1956 2828 1783 90 147 119 142 171 147 113 243 125 314 224 293 151 258 90 90 98 80 89 111
"Related to Menaquinone-cytochrome C reductase " 238 224 452 542 277 248 241 154 1 523 592 259 353 444 254 263 524 340 442 264 205 388 463 620 443 341 326 891 398 955 691 610 327 810 309 461 474 184 253 471
"Molybdopterin oxidoreductase" 1617 1421 4861 3069 2402 1691 2520 1218 6 3517 4254 1991 4173 3224 2262 1370 4244 2059 3044 1738 1521 2468 2075 2695 4231 3182 3361 5174 2675 6644 4781 5525 3616 5511 2412 2268 2092 1709 2035 2172
"Carotenoid biosynthesis" 915 894 3261 3276 1738 1803 1778 1238 1 2513 3336 1355 1983 2203 1068 1239 2618 1340 1593 1134 82 102 124 119 168 151 125 263 131 305 212 178 224 311 102 82 99 62 100 100
"Biosynthesis of phenylpropanoids" 383 389 911 1056 468 449 530 310 1 948 989 366 648 650 351 444 1022 488 650 517 9 12 12 17 25 11 10 30 11 25 19 8 12 25 6 1 13 2 12 14
"Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)" 539 425 1372 836 723 369 801 276 1 1215 1172 529 1614 1060 754 332 1445 668 999 574 828 1464 1287 1425 1929 1387 1337 2906 1337 2952 2570 2715 1631 2711 1025 1171 1073 712 976 961
"Hypothetical Related to Dihydroorate Dehydrogenase" 460 534 1463 1424 702 656 846 450 5 1207 1364 500 1240 1008 629 464 1185 589 858 595 147 251 268 267 422 303 306 577 274 631 472 574 379 511 233 254 221 164 182 238
"Hypothetical in Lysine biosynthetic cluster" 1621 1605 4210 5165 2327 2284 2633 1446 4 4031 4158 1864 3645 3388 1672 1572 3710 2051 2615 1912 293 523 407 412 541 490 384 1098 495 1037 874 1310 655 726 320 471 457 282 312 413
"Hypothetical associated with RecF" 301 409 861 1392 470 532 583 355 0 877 892 449 538 714 320 414 640 438 493 397 277 652 504 478 507 427 376 1019 561 961 938 794 398 787 314 379 365 238 243 342
"Coenzyme B" 18 3 13 13 6 9 10 4 0 23 16 8 9 15 4 6 25 14 20 11 531 677 699 835 1255 1103 1002 1622 875 1977 1657 1628 1166 2060 838 537 573 525 614 705
"Putative GGDEF domain protein related to agglutinin secretion" 90 93 163 203 90 90 140 58 0 181 171 71 222 161 95 68 194 82 170 101 40 68 49 71 80 42 48 122 67 151 127 108 127 151 67 51 68 31 52 40
"Catabolism of an unknown compound" 1306 1517 2573 3972 1541 1625 1791 1247 4 2794 2790 1251 1734 2376 942 1411 2836 1647 2020 1516 512 969 842 981 1223 955 875 1960 944 1958 1790 2514 1180 1639 667 847 782 485 652 773
"Triacylglycerols" 265 280 695 769 364 333 447 228 0 693 750 258 568 568 270 278 662 412 482 322 945 1549 1307 1387 1738 1574 1352 3006 1590 2843 2968 3590 1818 2936 1039 1304 1290 973 1067 1513
"Protein secretion system, Type III" 213 200 598 303 226 155 347 137 1 385 390 185 536 346 248 152 455 224 347 208 878 1788 1488 1426 1548 1342 1093 3083 1492 2631 2722 2287 1423 2269 810 1313 1312 797 940 1338
"Chemotaxis, response regulators" 74 101 303 236 149 108 202 82 0 257 260 142 246 194 130 72 240 112 146 119 2 10 3 11 39 36 15 27 349 48 126 0 3 25 10 18 10 12 54 5
"Coenzyme M" 137 124 564 507 260 227 312 169 0 322 495 182 358 365 216 225 380 214 287 187 31 19 39 36 16 28 34 92 50 45 66 40 31 35 14 51 29 29 41 67
"Proteolytic pathway" 24 38 197 92 57 75 73 39 0 93 132 63 100 79 56 52 87 48 80 20 181 305 251 245 435 356 318 589 334 709 573 447 347 719 222 203 164 196 175 253
"CRISPs" 156 145 343 442 201 253 193 129 1 329 440 176 220 235 154 134 324 143 198 176 133 205 200 194 373 283 208 421 270 497 461 292 239 551 187 134 129 138 154 210
"Light-harvesting complexes" 15 11 10 5 9 17 13 3 0 18 10 30 11 5 4 10 19 5 24 1 104 205 150 162 231 156 144 307 132 360 314 274 196 315 157 115 113 89 73 114
"Plant Octadecanoids" 19 6 19 26 20 15 7 5 0 9 5 8 25 18 14 12 10 16 22 5 191 252 206 243 330 273 243 470 304 509 468 633 376 504 217 225 208 168 196 262
"Spore DNA protection" 11 10 14 20 9 27 8 9 0 14 23 5 4 5 3 18 20 11 6 15 106 157 154 171 297 175 138 417 213 444 427 405 265 477 159 146 174 122 176 165
"Protein secretion system, Type VII (Chaperone/Usher pathway, CU)" 13 10 58 25 24 16 16 22 0 37 94 14 29 17 14 18 21 20 23 11 164 206 185 184 237 217 175 422 225 310 401 616 225 260 103 184 211 104 130 210
"Protein secretion system, Type V" 72 54 223 153 89 79 105 64 0 150 179 71 193 154 85 67 215 87 132 72 114 245 182 180 164 127 123 369 165 388 328 165 147 369 99 92 130 97 103 128
"Invasion and intracellular resistance" 136 157 437 279 190 120 243 96 0 348 234 125 448 265 190 92 287 167 260 110 18 51 38 58 134 88 85 128 66 213 147 317 119 113 36 62 37 32 57 45
"Toxins and superantigens" 204 166 536 363 241 182 230 125 2 455 459 213 441 409 281 134 505 217 354 190 56 106 106 133 213 115 120 254 134 240 223 199 142 269 73 70 82 62 73 89
"Social motility and nonflagellar swimming in bacteria" 30 32 90 112 46 67 53 50 1 80 83 42 49 59 23 46 52 34 57 27 25 31 36 33 95 37 29 97 42 91 53 115 61 93 24 38 50 19 26 31
"CRISPRs and associated hypotheticals" 73 73 192 186 96 143 108 65 1 164 208 87 95 109 83 53 152 67 84 100 8 18 36 30 54 33 26 76 18 63 42 61 31 34 27 18 24 13 14 16
"Proteasome related clusters" 67 45 46 51 21 18 20 52 0 65 43 43 32 42 20 39 113 55 78 102 3 2 7 5 5 0 1 7 6 6 11 4 0 2 0 2 10 7 8 9
"Lipid-derived mediators" 88 86 239 288 125 114 156 92 0 231 196 79 236 198 95 78 239 133 139 88 186 247 230 284 399 342 312 581 312 678 528 683 416 669 290 227 203 174 227 238
"Reverse electron transport" 58 44 106 96 75 42 94 28 0 129 93 47 107 101 52 54 112 79 81 58 61 97 83 89 130 104 103 231 102 138 202 267 109 119 55 79 111 46 51 111
"Dessication stress" 2 6 6 0 1 1 2 1 0 8 3 1 3 2 0 1 2 1 7 2 2 3 0 5 1 2 0 1 4 2 7 1 4 2 3 0 2 0 0 1
"Signal transduction in Eukaryotes" 0 1 3 1 2 0 0 1 0 1 3 1 5 1 1 0 2 0 1 2 7 11 7 14 17 19 18 25 13 10 22 28 16 20 5 11 10 7 8 21
